route_id,dep_airport
792,William P Hobby Airport
793,William P Hobby Airport
794,William P Hobby Airport
795,William P Hobby Airport
796,William P Hobby Airport
797,William P Hobby Airport
798,William P Hobby Airport
799,William P Hobby Airport
800,William P Hobby Airport
801,William P Hobby Airport
802,William P Hobby Airport
803,William P Hobby Airport
804,William P Hobby Airport
805,William P Hobby Airport
806,William P Hobby Airport
807,William P Hobby Airport
808,William P Hobby Airport
809,William P Hobby Airport
810,William P Hobby Airport
811,William P Hobby Airport
812,William P Hobby Airport
813,William P Hobby Airport
814,William P Hobby Airport
815,William P Hobby Airport
816,William P Hobby Airport
817,William P Hobby Airport
818,William P Hobby Airport
819,John F Kennedy International Airport
820,Jose Joaquin de Olmedo International Airport
821,Jose Joaquin de Olmedo International Airport
822,Jose Joaquin de Olmedo International Airport
823,Jose Joaquin de Olmedo International Airport
824,Jose Joaquin de Olmedo International Airport
825,Mariscal Lamar Airport
826,Mariscal Sucre International Airport
827,Mariscal Sucre International Airport
828,Mariscal Sucre International Airport
829,Miami International Airport
830,Miami International Airport
831,San Cristobal Airport
832,Seymour Airport
833,Amilcar Cabral International Airport
834,Amilcar Cabral International Airport
835,Amilcar Cabral International Airport
836,Amilcar Cabral International Airport
837,Amilcar Cabral International Airport
838,Amilcar Cabral International Airport
839,Amilcar Cabral International Airport
840,Amsterdam Airport Schiphol
841,Charles de Gaulle International Airport
842,Charles de Gaulle International Airport
843,General Edward Lawrence Logan International Airport
844,Humberto Delgado Airport (Lisbon Portela Airport)
845,Humberto Delgado Airport (Lisbon Portela Airport)
846,Humberto Delgado Airport (Lisbon Portela Airport)
847,Humberto Delgado Airport (Lisbon Portela Airport)
848,Leopold Sedar Senghor International Airport
849,Maio Airport
850,Pinto Martins International Airport
851,Praia International Airport
852,Praia International Airport
853,Praia International Airport
854,Praia International Airport
855,Praia International Airport
856,Praia International Airport
857,Praia International Airport
858,Praia International Airport
859,Praia International Airport
860,Praia International Airport
861,Preguica Airport
862,Preguica Airport
863,Rabil Airport
864,Rabil Airport
