airline_name,airline_country
Richards Aviation,United States
Richardson's Airway,United States
Richland Aviation,United States
Rick Lucas Helicopters,New Zealand
Ridder Avia,Kazakhstan
Rikspolisstyrelsen,Sweden
River Ministries Air Charter,South Africa
Rivne Universal Avia,Ukraine
Rog-Air,Canada
Roraima Airways,Guyana
Rossair,South Africa
Rotana Jet,United Arab Emirates
Rotormotion,United Kingdom
Rover Airways International,United States
Royal Air Force,United Kingdom
Royal American Airways,United States
Royal Aviation Express,Canada
Royal Bahrain Airlines,Bahrain
Royal Daisy Airlines,Uganda
Royal Oman Police,Oman
Royal Phnom Penh Airways,Cambodia
Rubystar,Belarus
Rusline,Russia
Russkie Krylya,Russia
Rutas Aereas,Venezuela
Rutland Aviation,United Kingdom
Rwanda Airlines,Rwanda
Rynes Aviation,United States
S C Ion Tiriac,Romania
S.P. Aviation,United States
SADELCA - Sociedad Aerea Del Caqueta,Colombia
SAM Colombia,Colombia
SANSA,Costa Rica
SASCO Airlines,Sudan
SENEAM,Mexico
STA-MALI,Mali
STAC Swiss Government Flights,Switzerland
SUR Lineas Aereas,Argentina
Sabang Merauke Raya Air Charter,Indonesia
Saber Airlines,Egypt
Safari Express Cargo,Kenya
Safarilink Aviation,Kenya
Safe Air,Pakistan
Saha Airlines Services,Iran
Sahel Aviation Service,Mali
Saint Barth Commuter,France
Sakaviaservice,Georgia
Salair,United States
Salem,Kazakhstan
Salpa Aviation,Sudan
Samal Air,Kazakhstan
Samar Air,Tajikistan
Samarkand Airways,Uzbekistan
Samson Aviation,United Kingdom
Sark International Airways,United Kingdom
Savanah Airlines,Nigeria
Seacoast Airlines,United States
Searca,Colombia
Seco International,Japan
Second Sverdlovsk Air Enterprise,Russia
Secretaria de Marina,Mexico
Sector Airlines,Canada
Sedona Air Center,United States
Selcon Airlines,Nigeria
Selkirk Remote Sensing,Canada
Sella Aviation,Netherlands
Sentel Corporation,United States
Servicio Aereo Saltillo,Mexico
Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,Costa Rica
Servicio Tecnico Aero De Mexico,Mexico
Servicios Aereos Avandaro,Mexico
Servicios Aereos Del Norte,Mexico
Servicios Aereos Ejecutivos De La Laguna,Mexico
Servicios Aereos La Marquesa,Mexico
Servicios Aereos Luce,Mexico
Servicios Aereos Nacionales,Ecuador
Servicios Aereos Premier,Mexico
Servicios Aereos Profesionales,Dominican Republic
Servicios Aereos San Cristobal,Mexico
Servicios Aereos Slainte,Mexico
Servicios Aereos Sunset,Mexico
Servicios Aereos Universitarios,Mexico
Servicios Aereos de Chihuahua Aerochisa,Mexico
Servicios Aereos de Los Angeles,Mexico
Servicios Aeronauticos Aero Personal,Mexico
Servicios De Rampa Y Mostrador,Mexico
Servicios De Transporte Aereo,Mexico
Servicios Ejecutivos Gosa,Mexico
Servicios Intergrales De Aviacion,Mexico
Servico Aereo Regional,Mozambique
Servicos De Alquiler,Mexico
Servizi Aerei,Italy
Sevastopol-Avia,Ukraine
Seven Bar Flying Service,United States
Sevenair,Tunisia
Severstal,Russia
Shaheen Air Cargo,Pakistan
Shalom Air Services,Nigeria
Sham Wing Airlines,Syrian Arab Republic
Shans Air,Russia
Shawnee Airline,United States
Sheremetyevo-Cargo,Russia
Shooter Air Courier,Canada
Shuangyang General Aviation,China
Silesia Air,Czech Republic
Simrik Airlines,Nepal
Sioux Falls Aviation,United States
Sirvair,Mexico
Skif-Air,Ukraine
Sky Airlines,Turkey
Sky Bahamas,Bahamas
Sky Bus,United States
Sky Exec Aviation Services,Nigeria
Sky Gate International Aviation,Kyrgyzstan
Sky Harbor Air Service,United States
Sky Jet,Switzerland
Sky Limo Corporation,United States
Sky Wings Airlines,Greece
Skydrift,United Kingdom
Skyfreight,United States
Skyjet,Kazakhstan
Skyline,Nigeria
Skymaster Air Taxi,United States
Skyplan Services,Canada
Skypower Express Airways,Nigeria
Skyways,Argentina
Slate Falls Airways,Canada
Slovak Air Force,Slovakia
Slovak Government Flying Service,Slovakia
Smalandsflyg,Sweden
Socofer,Angola
Solent Flight,United Kingdom
Solinair,Slovenia
Sonair Servico Aereo,Angola
Soonair Lines,United States
